nume;artist;vizualizari;venituri;lansare;aparitie;durata;gen;tara;colab
Happier Than Ever;Billie Eilish;19263184; 96.315,92  USD ;30.07.2021;09.09.2021;4:58;ALTERNATIVE;SUA;Nu
Life Goes On;Oliver Tree;18234742; 91.173,71  USD ;21.09.2021;09.09.2021;3:21;POP;SUA;Nu
Cold Heart - PNAU Remix;Elton John;17171664; 85.858,32  USD ;13.08.2021;09.09.2021;3:22;POP;Marea Britanie;Nu
Yonaguni;Bad Bunny;16613967; 83.069,84  USD ;04.06.2021;09.09.2021;3:26;LATIN URBAN;Puerto Rico;Nu
Todo De Ti;Rauw Alejandro;16491457; 82.457,29  USD ;22.05.2021;09.09.2021;3:19;LATIN URBAN;Puerto Rico;Nu
Girls Want Girls (with Lil Baby);Drake;15925804; 79.629,02  USD ;21.09.2021;09.09.2021;2:03;hIP-HOP/RAP;Canada;Da
Knife Talk (with 21 Savage ft. Project Pat);Drake;15905936; 79.529,68  USD ;21.09.2021;09.09.2021;4:01;HIP-HOP/RAP;Canada;Da
Volví;Aventura;15694072; 78.470,36  USD ;03.08.2021;09.09.2021;3:50;LATIN URBAN;Republica Dominicană;Nu
LALISA;LISA;15577524; 77.887,62  USD ;02.03.2021;09.09.2021;3:20;HIP-HOP/RAP;Tailanda;Nu
Hurricane;Kanye West;15167133; 75.835,67  USD ;08.08.2021;09.09.2021;4:03;HIP-HOP/RAP;SUA;Nu
traitor;Olivia Rodrigo;15165886; 75.829,43  USD ;21.05.2021;09.09.2021;3:49;POP;SUA;Nu
Levitating (with DaBaby);Dua Lipa;15154174; 75.770,87  USD ;27.03.2020;09.09.2021;3:23;POP;Marea Britanie;Da
In Da Getto;J Balvin;14735208; 73.676,04  USD ;02.07.2021;09.09.2021;2:10;LATIN URBAN;Columbia;Nu
Wildest Dreams (Taylor's Version);Taylor Swift;14592123; 72.960,62  USD ;23.06.2021;09.09.2021;2:46;POP;SUA;Nu
Peaches (with Daniel Caesar & Giveon);Justin Bieber;14173474; 70.867,37  USD ;19.03.2021;09.09.2021;3:18;POP;Canada;Da
Take My Breath;The Weeknd;13898588; 69.492,94  USD ;06.08.2021;09.09.2021;3:40;R&B/SOUL;Canada;Nu
love nwantiti (ah ah ah);CKay;13833060; 69.165,30  USD ;21.05.2021;09.09.2021;2:26;AFROBEATS;Africa;Nu
Qué Más Pues?;J Balvin;13614671; 68.073,36  USD ;28.05.2021;09.09.2021;3:37;LATIN URBAN;Columbia;Nu
Meet Me At Our Spot;THE ANXIETY;13473188; 67.365,94  USD ;31.05.2021;09.09.2021;3:45;POP;SUA;Nu
I WANNA BE YOUR SLAVE;Måneskin;13194771; 65.973,86  USD ;19.03.2021;09.09.2021;2:53;ROCK;Italia;Nu
Blinding Lights;The Weeknd;13014956; 65.074,78  USD ;29.11.2019;09.09.2021;3:21;R&B/SOUL;Canada;Nu
Save Your Tears (with Ariana Grande) (Remix);The Weeknd;12579776; 62.898,88  USD ;20.03.2020;09.09.2021;3:35;R&B/SOUL;Canada;Da
SCOOP (with Doja Cat);Lil Nas X;12520878; 62.604,39  USD ;07.10.2021;09.09.2021;5:23;HIP-HOP/RAP;SUA;Da
2055;Sleepy Hallow;12485782; 62.428,91  USD ;14.04.2021;09.09.2021;2:03;HIP-HOP/RAP;Jamaica;Nu
drivers license;Olivia Rodrigo;11952143; 59.760,72  USD ;08.01.2021;09.09.2021;4:02;POP;SUA;Nu
Get Into It (Yuh);Doja Cat;11866242; 59.331,21  USD ;25.06.2021;09.09.2021;2:18;POP;SUA;Nu
Don't Be Shy;TiÃ«sto;11353821; 56.769,11  USD ;04.05.2021;09.09.2021;3:23;R&B/SOUL;Olanda;Nu
Cúrame;Rauw Alejandro;11285718; 56.428,59  USD ;25.06.2021;09.09.2021;2:44;LATIN URBAN;Puerto Rico;Nu
Ley Seca;Jhay Cortez;11265184; 56.325,92  USD ;23.06.2021;09.09.2021;2:23;LATIN URBAN;Puerto Rico;Nu
deja vu;Olivia Rodrigo;11066776; 55.333,88  USD ;21.05.2021;09.09.2021;3:35;POP;SUA;Nu
PariÌs;Ingratax;11002366; 55.011,83  USD ;27.08.2021;09.09.2021;3:10;POP;Mexic;Nu
family ties (with Kendrick Lamar);Baby Keem;10790268; 53.951,34  USD ;27.08.2021;09.09.2021;4:12;HIP-HOP/RAP;SUA;Da
AM Remix;Nio Garcia;10781878; 53.909,39  USD ;24.06.2021;09.09.2021;4:21;LATIN URBAN;Puerto Rico;Nu
Volando - Remix;Mora;10771882; 53.859,41  USD ;08.07.2021;09.09.2021;4:33;LATIN;Puerto Rico;Nu
DOLLA SIGN SLIME (with Megan Thee Stallion);Lil Nas X;10550949; 52.754,75  USD ;12.05.2021;09.09.2021;3:23;HIP-HOP/RAP;SUA;Da
Sobrio;Maluma;10490056; 52.450,28  USD ;08.07.2021;09.09.2021;3:21;LATIN URBAN;Columbia;Nu
Butter;BTS;10212971; 51.064,86  USD ;21.05.2021;09.09.2021;2:44;K-POP;Korea de Sud;Nu
Where Are You Now;Lost Frequencies;9999678; 49.998,39  USD ;19.06.2021;09.09.2021;5:59;POP;Belgia;Nu
OUT OUT (with Charli XCX & Saweetie);Joel Corry;9869162; 49.345,81  USD ;23.06.2021;09.09.2021;4:21;ROCK;Marea Britanie;Da
Like I Can;Sam Smith;9813362; 49.066,81  USD ;21.03.2021;09.09.2021;4:12;POP;Marea Britanie;Nu
Watermelon Sugar;Harry Styles;9777591; 48.887,96  USD ;13.12.2019;09.09.2021;2:53;POP;Marea Britanie;Nu
DEAD RIGHT NOW;Lil Nas X;9615847; 48.079,24  USD ;12.05.2021;09.09.2021;2:43;HIP-HOP/RAP;SUA;Nu
Don't Go Yet;Camila Cabello;9402674; 47.013,37  USD ;23.07.2021;09.09.2021;2:44;POP;Cuba;Nu
Leave The Door Open;Bruno Mars;9368376; 46.841,88  USD ;05.03.2021;09.09.2021;4:02;R&B/SOUL;Puerto Rico;Nu
love nwantiti (with Dj Yo! & AX'EL) - Remix;CKay;9338021; 46.690,11  USD ;29.08.2021;09.09.2021;4:21;AFROBEATS;Africa;Da
Champagne Poetry;Drake;9273584; 46.367,92  USD ;07.10.2021;09.09.2021;8:33;HIP-HOP/RAP;Canada;Nu
Entre Nosotros;Tiago PZK;9230616; 46.153,08  USD ;09.07.2021;09.09.2021;3:12;RHYTHM & BLUES;Argentina;Nu
Sweater Weather;The Neighbourhood;9201753; 46.008,77  USD ;03.02.2021;09.09.2021;2:18;R&B/SOUL;SUA;Nu
happier;Olivia Rodrigo;9167057; 45.835,29  USD ;21.05.2021;09.09.2021;2:55;POP;SUA;Nu
Mood (with iann dior);24kGoldn;9162592; 45.812,96  USD ;20.05.2021;09.09.2021;2:17;HIP-HOP/RAP;SUA;Da
Love Tonight - Edit;Shouse;9066520; 45.332,60  USD ;14.12.2017;09.09.2021;4:01;ELECTRONIC;Australia;Nu
SUN GOES DOWN;Lil Nas X;9056136; 45.280,68  USD ;12.05.2021;09.09.2021;3:23;hIP-HOP/RAP;SUA;Nu
Dákiti;Bad Bunny;8997854; 44.989,27  USD ;30.10.2020;09.09.2021;3:25;LATIN;Puerto Rico;Nu
Dark Red;Steve Lacy;8972367; 44.861,84  USD ;20.04.2021;09.09.2021;3:41;DANCE;SUA;Nu
Una Nota;J Balvin;8922665; 44.613,33  USD ;02.02.2021;09.09.2021;2:32;LATIN URBAN;Columbia;Nu
TALES OF DOMINICA;Lil Nas X;8726024; 43.630,12  USD ;12.05.2021;09.09.2021;4:01;hIP-HOP/RAP;SUA;Nu
Permission to Dance;BTS;8686128; 43.430,64  USD ;09.07.2021;09.09.2021;3:07;K-POP;Korea de Sud;Nu
Freaks;Surf Curse;8611134; 43.055,67  USD ;02.02.2021;09.09.2021;3:23;POP;SUA;Nu
Pareja Del AÃ±o;Sebastian Yatra;8459196; 42.295,98  USD ;11.02.2021;09.09.2021;4:57;LATIN URBAN;Columbia;Nu
Someone You Loved;Lewis Capaldi;8388161; 41.940,81  USD ;30.06.2021;09.09.2021;3:28;HIP-HOP/RAP;Scoția;Nu
Leave Before You Love Me (with Jonas Brothers);Marshmello;8387045; 41.935,23  USD ;27.09.2021;09.09.2021;4:02;ROCK;SUA;Da
I GUESS I'M IN LOVE;Clinton Kane;8365898; 41.829,49  USD ;05.06.2021;09.09.2021;2:44;HIP-HOP/RAP;Norvegia;Nu
Don't Start Now;Dua Lipa;8314881; 41.574,41  USD ;21.02.2021;09.09.2021;2:49;K-POP;Marea Britanie;Nu
Dynamite;BTS;8302656; 41.513,28  USD ;20.09.2021;09.09.2021;2:21;K-POP;Korea de Sud;Nu
ONE OF ME (with Elton John);Lil Nas X;8266667; 41.333,34  USD ;12.05.2021;09.09.2021;3:45;HIP-HOP/RAP;SUA;Da
Friday (with Mufasa & Hypeman) - Dopamine Re-Edit;Riton;8262943; 41.314,72  USD ;15.01.2021;09.09.2021;2:49;DANCE;Marea Britanie;Da
Miénteme;TINI;8239521; 41.197,61  USD ;01.05.2021;09.09.2021;2:45;LATIN URBAN;Argentina;Nu
Moon;Kanye West;8228741; 41.143,71  USD ;29.08.2021;09.09.2021;2:36;HIP-HOP/RAP;SUA;Nu
LOST IN THE CITADEL;Lil Nas X;8200216; 41.001,08  USD ;12.05.2021;09.09.2021;2:09;HIP-HOP/RAP;SUA;Nu
Ain't Shit;Doja Cat;8167885; 40.839,43  USD ;25.06.2021;09.09.2021;2:54;POP;SUA;Nu
Astronaut In The Ocean;Masked Wolf;8097836; 40.489,18  USD ;30.08.2021;09.09.2021;4:03;POP;Australia;Nu
Tiroteo - Remix;Marc SeguÃ­;8010126; 40.050,63  USD ;01.04.2021;09.09.2021;5:21;LATIN URBAN;Puerto Rico;Nu
jealousy, jealousy;Olivia Rodrigo;7855715; 39.278,58  USD ;21.05.2021;09.09.2021;2:53;POP;SUA;Nu
The Business;TiÃ«sto;7738475; 38.692,38  USD ;20.05.2021;09.09.2021;2:55;DANCE;Olanda;Nu
edamame (with Rich Brian);bbno$;7699384; 38.496,92  USD ;24.04.2020;09.09.2021;2:10;R&B/SOUL;Canada;Da
love nwantiti (with ElGrande Toto) - North African Remix;CKay;7698403; 38.492,02  USD ;18.02.2021;09.09.2021;4:23;RHYTHM & BLUES;Africa;Da
Love Again;Dua Lipa;7695070; 38.475,35  USD ;04.03.2021;09.09.2021;3:22;ELECTRONIC;Marea Britanie;Nu
NostÃ¡lgico;Rvssian;7686075; 38.430,38  USD ;23.05.2021;09.09.2021;3:23;LATIN URBAN;Puerto Rico;Nu
AM I DREAMING (with Miley Cyrus);Lil Nas X;7632690; 38.163,45  USD ;12.05.2021;09.09.2021;2:23;HIP-HOP/RAP;SUA;Da
favorite crime;Olivia Rodrigo;7620617; 38.103,09  USD ;30.05.2021;09.09.2021;3:35;ALTERNATIVE;SUA;Nu
911 - Remix;Sech;7619310; 38.096,55  USD ;09.07.2021;09.09.2021;3:28;LATIN URBAN;Panama;Nu
Have Mercy;ChlÃ¶e;7601818; 38.009,09  USD ;23.05.2021;09.09.2021;2:45;POP;SUA;Nu
Off The Grid;Kanye West;7499273; 37.496,37  USD ;29.08.2021;09.09.2021;5:39;HIP-HOP/RAP;SUA;Nu
Summer of Love (Shawn Mendes & Tainy);Shawn Mendes;7490488; 37.452,44  USD ;20.08.2021;09.09.2021;3:04;POP;Canada;Nu
MONEY;LISA;7486441; 37.432,21  USD ;06.09.2021;09.09.2021;2:22;POP;Canada;Nu
Save Your Tears;The Weeknd;7408114; 37.040,57  USD ;13.01.2021;09.09.2021;4:03;ELECTRONIC;Canada;Nu
Chosen (with Ty Dolla $ign);Blxst;7276769; 36.383,85  USD ;12.07.2021;09.09.2021;4:58;ALTERNATIVE;SUA;Da
ArranhÃ£o - Ao Vivo;Henrique & Juliano;7252496; 36.262,48  USD ;17.02.2021;09.09.2021;2:49;LATIN URBAN;Brazilia;Nu
DONT WANT IT;Lil Nas X;7187013; 35.935,07  USD ;12.05.2021;09.09.2021;2:48;HIP-HOP/RAP;SUA;Nu
lovely (with Khalid);Billie Eilish;7184315; 35.921,58  USD ;08.07.2021;09.09.2021;4:02;LATIN URBAN;SUA;Da
Perfect;Ed Sheeran;7070755; 35.353,78  USD ;13.02.2021;09.09.2021;3:21;POP;Marea Britanie;Nu
Loco;Justin Quiles;7063041; 35.315,21  USD ;23.04.2021;09.09.2021;4:47;K-POP;SUA;Nu
RAPSTAR;Polo G;7040590; 35.202,95  USD ;18.02.2021;09.09.2021;2:25;RHYTHM & BLUES;SUA;Nu
No Friends In The Industry;Drake;6994162; 34.970,81  USD ;12.05.2021;09.09.2021;2:45;HIP-HOP/RAP;Canada;Nu
double take;dhruv;6957330; 34.786,65  USD ;29.07.2021;09.09.2021;3:31;LATIN;India;Nu
Believer;Imagine Dragons;6942462; 34.712,31  USD ;23.06.2021;09.09.2021;3:50;HIP-HOP/RAP;SUA;Nu
Before You Go;Lewis Capaldi;6933137; 34.665,69  USD ;30.01.2021;09.09.2021;3:15;HIP-HOP/RAP;Scoția;Nu
Circles;Post Malone;6863297; 34.316,49  USD ;18.02.2021;09.09.2021;3:26;POP;SUA;Nu
positions;Ariana Grande;6848856; 34.244,28  USD ;21.04.2021;09.09.2021;3:37;POP;SUA;Nu
Dance Monkey;Tones And I;6746723; 33.733,62  USD ;31.07.2021;09.09.2021;3:40;HIP-HOP/RAP;Australia;Nu
A-O-K;Tai Verdes;6619255; 33.096,28  USD ;04.08.2021;09.09.2021;2:25;HIP-HOP/RAP;SUA;Nu
Arcade;Duncan Laurence;6616894; 33.084,47  USD ;17.04.2021;09.09.2021;3:49;HIP-HOP/RAP;Olanda;Nu
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;6548663; 32.743,32  USD ;25.09.2021;09.09.2021;2:58;LATIN URBAN;SUA;Nu
Heartbreak Anniversary;Giveon;6536464; 32.682,32  USD ;07.09.2021;09.09.2021;2:17;ALTERNATIVE;SUA;Nu
Happier Than Ever - Edit;Billie Eilish;6521881; 32.609,41  USD ;21.05.2021;09.09.2021;3:56;ALTERNATIVE;SUA;Nu
Poblado - Remix;J Balvin;6486425; 32.432,13  USD ;30.04.2021;09.09.2021;2:53;ELECTRONIC;Columbia;Nu
telepatÃ­a;Kali Uchis;6455273; 32.276,37  USD ;31.01.2021;09.09.2021;5:33;HIP-HOP/RAP;SUA;Nu
Bala Love;Mc Anjim;6452194; 32.260,97  USD ;14.07.2021;09.09.2021;3:23;LATIN;Columbia;Nu
Levitating;Dua Lipa;6389281; 31.946,41  USD ;29.04.2021;09.09.2021;3:23;LATIN URBAN;Marea Britanie;Nu
Meu PedaÃ§o de Pecado;JoÃ£o Gomes;6384423; 31.922,12  USD ;13.09.2021;09.09.2021;3:19;HIP-HOP/RAP;Brazilia;Nu
Shape of You;Ed Sheeran;6363090; 31.815,45  USD ;23.04.2021;09.09.2021;2:35;LATIN URBAN;Marea Britanie;Nu
"Raataan Lambiyan (From ""Shershaah"")";Tanishk Bagchi;6306282; 31.531,41  USD ;22.04.2021;09.09.2021;3:32;HIP-HOP/RAP;India;Nu
You Right;Doja Cat;6272070; 31.360,35  USD ;07.03.2021;09.09.2021;2:36;LATIN URBAN;SUA;Nu
Smells Like Teen Spirit;Nirvana;6254740; 31.273,70  USD ;13.05.2021;09.09.2021;3:35;RHYTHM & BLUES;SUA;Nu
WITHOUT YOU;The Kid LAROI;6253444; 31.267,22  USD ;16.02.2021;09.09.2021;2:44;LATIN URBAN;Australia;Da
Heather;Conan Gray;6234893; 31.174,47  USD ;05.05.2021;09.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
ALMAS GEMELAS;Myke Towers;6216701; 31.083,51  USD ;04.05.2021;09.09.2021;4:33;POP;Puerto Rico;Nu
Quer Voar;MatuÃª;6178980; 30.894,90  USD ;31.03.2021;09.09.2021;2:08;HIP-HOP/RAP;Brazilia;Nu
VOID;Lil Nas X;6151453; 30.757,27  USD ;12.05.2021;09.09.2021;2:51;HIP-HOP/RAP;SUA;Nu
VocÃª Beberia Ou NÃ£o Beberia?;ZÃ© Neto & Cristiano;6135526; 30.677,63  USD ;04.08.2021;09.09.2021;4:01;POP;Puerto Rico;Nu
September;Earth, Wind & Fire;6115461; 30.577,31  USD ;09.10.2021;09.09.2021;3:56;POP;SUA;Nu
Bohemian Rhapsody - Remastered 2011;Queen;6093064; 30.465,32  USD ;15.06.2021;09.09.2021;3:22;HIP-HOP/RAP;Marea Britanie;Nu
Daddy Issues;The Neighbourhood;6075319; 30.376,60  USD ;03.02.2021;09.09.2021;2:54;HIP-HOP/RAP;SUA;Nu
you broke me first;Tate McRae;6044089; 30.220,45  USD ;05.08.2021;09.09.2021;2:53;LATIN;Canada;Nu
Jugaste y SufrÃ­;Eslabon Armado;5958054; 29.790,27  USD ;12.04.2021;09.09.2021;1:23;LATIN URBAN;Puerto Rico;Nu
Chega E Senta - Ao Vivo;John Amplificado;5957231; 29.786,16  USD ;21.04.2021;09.09.2021;3:30;R&B/SOUL;Brazilia;Nu
brutal;Olivia Rodrigo;5945539; 29.727,70  USD ;31.05.2021;09.09.2021;2:53;HIP-HOP/RAP;SUA;Nu
SeÃ±orita;Shawn Mendes;5921234; 29.606,17  USD ;09.04.2021;09.09.2021;8:58;K-POP;Canada;Nu
Run;OneRepublic;5891029; 29.455,15  USD ;27.03.2021;09.09.2021;2:21;R&B/SOUL;SUA;Nu
Head & Heart (with MNEK);Joel Corry;5888983; 29.444,92  USD ;14.07.2021;09.09.2021;2:27;LATIN URBAN;Marea Britanie;Da
Lemonade (with Gunna, Don Toliver & NAV);Internet Money;5865185; 29.325,93  USD ;23.04.2021;09.09.2021;3:12;LATIN;SUA;Da
Butter (with Megan Thee Stallion);BTS;5864926; 29.324,63  USD ;27.08.2021;09.09.2021;2:44;K-POP;Korea de Sud;Da
Talking to the Moon;Bruno Mars;5857501; 29.287,51  USD ;04.06.2021;09.09.2021;3:41;POP;SUA;Nu
The Nights;Avicii;5850005; 29.250,03  USD ;21.05.2021;09.09.2021;5:21;LATIN URBAN;Suedia;Nu
Goosebumps - Remix;Travis Scott;5848651; 29.243,26  USD ;05.08.2021;09.09.2021;2:55;HIP-HOP/RAP;SUA;Nu
Mon Amour - Remix;zzoilo;5835230; 29.176,15  USD ;19.06.2021;09.09.2021;2:50;POP;SUA;Nu
Heartbreak Anthem (with David Guetta & Little Mix);Galantis;5834527; 29.172,64  USD ;24.05.2021;09.09.2021;5:39;LATIN URBAN;Suedia;Da
Obsessed With You;Central Cee;5825908; 29.129,54  USD ;20.07.2021;09.09.2021;4:56;POP;SUA;Da
Yellow;Coldplay;5804106; 29.020,53  USD ;29.08.2021;09.09.2021;4:57;RHYTHM & BLUES;Marea Britanie;Nu
Another Love;Tom Odell;5801692; 29.008,46  USD ;30.03.2021;09.09.2021;3:03;HIP-HOP/RAP;Marea Britanie;Nu
The Real Slim Shady;Eminem;5784976; 28.924,88  USD ;18.03.2000;09.09.2021;4:44;HIP-HOP/RAP;SUA;Nu
Counting Stars;OneRepublic;5783797; 28.918,99  USD ;17.09.2021;09.09.2021;2:58;ROCK;SUA;Nu
Ela e Ela;ZÃ© Neto & Cristiano;5775348; 28.876,74  USD ;11.04.2021;09.09.2021;2:32;LATIN URBAN;Panama;Nu
...And to Those I Love, Thanks for Sticking Around;$uicideboy$;5770573; 28.852,87  USD ;01.09.2021;09.09.2021;3:23;HIP-HOP/RAP;SUA;Nu
Gangsta's Paradise;Coolio;5767379; 28.836,90  USD ;27.02.2021;09.09.2021;3:40;K-POP;SUA;Nu
Loverboy;A-Wall;5757943; 28.789,72  USD ;06.08.2021;09.09.2021;2:53;LATIN URBAN;Australia;Nu
Dandelions;Ruth B.;5745243; 28.726,22  USD ;30.04.2021;09.09.2021;3:26;LATIN;Canada;Nu
Shallow;Lady Gaga;5743636; 28.718,18  USD ;29.08.2021;09.09.2021;4:47;LATIN URBAN;SUA;Nu
TSU;Drake;5735839; 28.679,20  USD ;12.05.2021;09.09.2021;3:23;HIP-HOP/RAP;Canada;Nu
Take Me To Church;Hozier;5722577; 28.612,89  USD ;30.07.2021;09.09.2021;4:03;POP;Irlanda;Nu
Memories;Maroon 5;5716811; 28.584,06  USD ;12.07.2021;09.09.2021;3:23;POP;SUA;Nu
goosebumps;Travis Scott;5716347; 28.581,74  USD ;20.05.2021;09.09.2021;2:21;DANCE;SUA;Nu
A La AntigÃ¼ita;Calibre 50;5713442; 28.567,21  USD ;19.02.2021;09.09.2021;2:22;LATIN;Columbia;Nu
Riptide;Vance Joy;5704490; 28.522,45  USD ;17.02.2021;09.09.2021;2:53;LATIN URBAN;Australia;Nu
Say You Won't Let Go;James Arthur;5699706; 28.498,53  USD ;21.09.2021;09.09.2021;3:46;HIP-HOP/RAP;Marea Britanie;Nu
Wildest Dreams;Taylor Swift;5699022; 28.495,11  USD ;23.07.2021;09.09.2021;3:21;POP;SUA;Nu
"Ranjha (From ""Shershaah"")";Jasleen Royal;5683967; 28.419,84  USD ;13.06.2021;09.09.2021;3:46;POP;India;Nu
Beautiful Mistakes (with Megan Thee Stallion);Maroon 5;5654594; 28.272,97  USD ;25.05.2021;09.09.2021;3:23;HIP-HOP/RAP;SUA;Da
LIFE AFTER SALEM;Lil Nas X;5646641; 28.233,21  USD ;12.05.2021;09.09.2021;2:45;HIP-HOP/RAP;SUA;Nu
Every Breath You Take;The Police;5632746; 28.163,73  USD ;30.06.2021;09.09.2021;3:58;HIP-HOP/RAP;Marea Britanie;Nu
Here's Your Perfect;Jamie Miller;5621978; 28.109,89  USD ;23.05.2021;09.09.2021;5:58;ROCK;Țara Galilor;Nu
Wants and Needs (with Lil Baby);Drake;5598555; 27.992,78  USD ;04.07.2021;09.09.2021;3:28;HIP-HOP/RAP;Canada;Da
Botella Tras Botella;Gera MX;5579092; 27.895,46  USD ;23.05.2021;09.09.2021;4:02;HIP-HOP/RAP;Mexic;Nu
Mr. Brightside;The Killers;5530728; 27.653,64  USD ;03.02.2021;09.09.2021;2:21;LATIN URBAN;Panama;Nu
Wake Me Up;Avicii;5499650; 27.498,25  USD ;01.03.2021;09.09.2021;3:18;HIP-HOP/RAP;Suedia;Nu
2/Catorce;Rauw Alejandro;5492402; 27.462,01  USD ;15.09.2021;09.09.2021;4:12;DANCE;Puerto Rico;Nu
Wow Wow (with Becky G);Maria Becerra;5491736; 27.458,68  USD ;06.07.2021;09.09.2021;3:21;HIP-HOP/RAP;Argentina;Da
7 rings;Ariana Grande;5484067; 27.420,34  USD ;22.05.2021;09.09.2021;2:25;R&B/SOUL;SUA;Nu
Jocelyn Flores;XXXTENTACION;5474919; 27.374,60  USD ;23.04.2021;09.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
Dreams - 2004 Remaster;Fleetwood Mac;5435438; 27.177,19  USD ;04.03.2021;09.09.2021;2:36;HIP-HOP/RAP;Marea Britanie;Nu
Roses - Imanbek Remix;SAINt JHN;5431486; 27.157,43  USD ;03.06.2021;09.09.2021;3:28;HIP-HOP/RAP;SUA;Nu
She Knows (with Amber Coffman & Cults);J. Cole;5425131; 27.125,66  USD ;03.01.2021;09.09.2021;2:59;HIP-HOP/RAP;SUA;Da
Hold On;Justin Bieber;5415289; 27.076,45  USD ;15.02.2021;09.09.2021;3:31;RHYTHM & BLUES;Canada;Nu
Rumors (with Cardi B);Lizzo;5381289; 26.906,45  USD ;01.08.2021;09.09.2021;2:03;ROCK;SUA;Da
No Role Modelz;J. Cole;5365588; 26.827,94  USD ;03.01.2021;09.09.2021;2:23;hIP-HOP/RAP;SUA;Nu
All of Me;John Legend;5361387; 26.806,94  USD ;02.02.2019;09.09.2021;3:23;POP;Marea Britanie;Nu
INFERNO;Sub Urban;5359388; 26.796,94  USD ;28.06.2021;09.09.2021;3:21;LATIN URBAN;Puerto Rico;Nu
Never Going Home;Kungs;5341858; 26.709,29  USD ;13.01.2021;09.09.2021;3:49;LATIN;Franța;Nu
Rasputin;Majestic;5335370; 26.676,85  USD ;31.08.2021;09.09.2021;2:18;HIP-HOP/RAP;Marea Britanie;Nu
bad guy;Billie Eilish;5333841; 26.669,21  USD ;18.02.2021;09.09.2021;2:44;LATIN URBAN;SUA;Nu
Papiâ€™s Home;Drake;5320793; 26.603,97  USD ;21.09.2021;09.09.2021;3:26;hIP-HOP/RAP;Canada;Nu
Your Love (9PM);ATB;5309756; 26.548,78  USD ;18.01.2021;09.09.2021;2:44;HIP-HOP/RAP;Germania;Nu
Fiel - Remix;Wisin;5304766; 26.523,83  USD ;18.04.2021;09.09.2021;3:35;HIP-HOP/RAP;Puerto Rico;Nu
Motley Crew;Post Malone;5298156; 26.490,78  USD ;12.01.2021;09.09.2021;3:58;ROCK;SUA;Nu
HawÃ¡i;Maluma;5246602; 26.233,01  USD ;21.02.2021;09.09.2021;3:50;HIP-HOP/RAP;Columbia;Nu
STAY (with Justin Bieber);The Kid LAROI;62413082; 312.065,41  USD ;09.07.2021;16.09.2021;2:21;POP;Australia;Da
INDUSTRY BABY (with Jack Harlow);Lil Nas X;41902868; 209.514,34  USD ;23.07.2021;16.09.2021;3:32;HIP-HOP/RAP;SUA;Da
Bad Habits;Ed Sheeran;31351285; 156.756,43  USD ;11.06.2021;16.09.2021;3:32;POP;Marea Britanie;Nu
Pepas;Farruko;29676719; 148.383,60  USD ;08.12.2021;16.09.2021;4:47;LATIN URBAN;Puerto Rico;Nu
Heat Waves;Glass Animals;28688699; 143.443,50  USD ;07.08.2020;16.09.2021;3:58;POP;Marea Britanie;Nu
Woman;Doja Cat;28542372; 142.711,86  USD ;27.06.2021;16.09.2021;2:25;POP;SUA;Nu
Beggin';Måneskin;26772173; 133.860,87  USD ;08.12.2017;16.09.2021;3:31;ROCK;Italia;Nu
good 4 u;Olivia Rodrigo;25414611; 127.073,06  USD ;21.05.2021;16.09.2021;2:58;POP;SUA;Nu
Fair Trade (with Travis Scott);Drake;25297983; 126.489,92  USD ;21.09.2021;16.09.2021;3:23;hIP-HOP/RAP;Canada;Da
Way 2 Sexy (with Future & Young Thug);Drake;24928604; 124.643,02  USD ;21.09.2021;16.09.2021;1:20;HIP-HOP/RAP;Canada;Da
Shivers;Ed Sheeran;23729735; 118.648,68  USD ;29.04.2021;16.09.2021;2:32;POP;Marea Britanie;Nu
Girls Want Girls (with Lil Baby);Drake;23379545; 116.897,73  USD ;21.09.2021;16.09.2021;2:03;hIP-HOP/RAP;Canada;Da
Need To Know;Doja Cat;23196486; 115.982,43  USD ;24.06.2021;16.09.2021;3:30;POP;SUA;Nu
MONTERO (Call Me By Your Name);Lil Nas X;20710480; 103.552,40  USD ;17.09.2021;16.09.2021;2:17;POP;SUA;Nu
Kiss Me More (with SZA);Doja Cat;20170105; 100.850,53  USD ;09.04.2021;16.09.2021;3:28;POP;SUA;Da
Happier Than Ever;Billie Eilish;19664713; 98.323,57  USD ;30.07.2021;16.09.2021;4:58;ALTERNATIVE;SUA;Nu
Hurricane;Kanye West;19370230; 96.851,15  USD ;08.08.2021;16.09.2021;4:03;HIP-HOP/RAP;SUA;Nu
LALISA;LISA;18455241; 92.276,21  USD ;02.03.2021;16.09.2021;3:20;HIP-HOP/RAP;Tailanda;Nu
Knife Talk (with 21 Savage ft. Project Pat);Drake;18375341; 91.876,71  USD ;21.09.2021;16.09.2021;4:01;HIP-HOP/RAP;Canada;Da
Todo De Ti;Rauw Alejandro;18022876; 90.114,38  USD ;22.05.2021;16.09.2021;3:19;LATIN URBAN;Puerto Rico;Nu
Yonaguni;Bad Bunny;17195763; 85.978,82  USD ;04.06.2021;16.09.2021;3:26;LATIN URBAN;Puerto Rico;Nu
Volví;Aventura;16342344; 81.711,72  USD ;03.08.2021;16.09.2021;3:50;LATIN URBAN;Republica Dominicană;Nu
